Date,CPI_mom,Repo,Oil,FX,IIP_yoy
2015-02,0.167,7.75,58.0955,61.9905,2.999
2015-03,0.418,7.5,55.8855,62.4805,2.363
2015-04,0.416,7.5,59.5243,62.6414,0.657
2015-05,0.746,7.5,64.075,63.715,1.802
2015-06,1.151,7.25,61.4777,63.7809,1.003
2015-07,0.488,7.25,56.5613,63.6045,1.268
2015-08,0.971,7.25,46.515,65.0971,3.704
2015-09,0.481,6.75,47.6232,66.1667,2.178
2015-10,0.558,6.75,48.43,65.0262,8.962
2015-11,0.397,6.75,44.2676,66.1,0.823
2015-12,-0.395,6.75,38.0055,66.5023,3.122
2016-01,0.159,6.75,30.6995,67.3332,4.024
2016-02,-0.238,6.75,32.1815,68.2395,7.188
2016-03,0.0,6.75,38.2105,66.8909,5.194
2016-04,1.032,6.5,41.5833,66.4219,5.965
2016-05,1.021,6.5,46.7424,66.8895,7.345
2016-06,1.166,6.5,48.2473,67.2655,8.032
2016-07,0.769,6.5,44.9519,67.158,4.472
2016-08,0.0,6.5,45.843,66.9035,4.018
2016-09,-0.153,6.5,46.5677,66.7138,4.973
2016-10,0.382,6.25,49.5224,66.7415,4.156
2016-11,-0.152,6.25,44.7341,67.6395,5.077
2016-12,-0.61,6.25,53.3085,67.8052,2.355
2017-01,-0.077,6.25,54.5767,68.0474,3.532
2017-02,0.23,6.25,54.8695,66.9726,1.188
2017-03,0.23,6.25,51.5891,65.8009,4.389
2017-04,0.153,6.25,52.3079,64.536,3.166
2017-05,0.229,6.25,50.3265,64.4195,2.885
2017-06,0.457,6.25,46.3682,64.4482,-0.334
2017-07,1.667,6.25,48.4786,64.424,1.027
2017-08,0.894,6.0,51.7043,63.9683,4.807
2017-09,-0.148,6.0,56.1529,64.4775,4.146
2017-10,0.666,6.0,57.5077,65.0357,1.829
2017-11,1.102,6.0,62.7141,64.8435,8.542
2017-12,-0.291,6.0,64.3737,64.2445,7.313
2018-01,-0.219,6.0,69.0773,63.6452,7.474
2018-02,-0.365,6.0,65.3175,64.43,6.879
2018-03,0.073,6.0,66.0167,65.0455,5.33
2018-04,0.44,6.0,72.106,65.6729,4.518
2018-05,0.511,6.0,76.9752,67.51,3.846
2018-06,0.508,6.25,74.4048,67.79,7.041
2018-07,0.939,6.25,74.2541,68.6867,6.525
2018-08,0.429,6.5,72.5283,69.6317,4.832
2018-09,-0.142,6.5,78.891,72.2779,4.63
2018-10,0.357,6.5,81.0322,73.5609,8.408
2018-11,0.071,6.5,64.7482,71.738,0.238
2018-12,-0.497,6.5,57.3624,70.8331,2.527
2019-01,-0.357,6.5,59.4095,70.71,1.587
2019-02,0.215,6.25,63.9605,71.1739,0.157
2019-03,0.357,6.25,66.1386,69.4895,2.708
2019-04,0.57,6.0,71.2333,69.4068,3.181
2019-05,0.567,6.0,71.3177,69.7827,4.475
2019-06,0.634,5.75,64.2205,69.388,1.253
2019-07,0.91,5.75,63.9191,68.7391,4.853
2019-08,0.555,5.4,59.0418,71.1891,-1.406
2019-09,0.552,5.4,62.8267,71.311,-4.581
2019-10,0.96,5.4,59.713,71.0086,-6.627
2019-11,0.951,5.4,63.2119,71.4942,2.141
2019-12,1.211,5.4,67.2171,71.1567,0.448
2020-01,-0.133,5.4,63.6455,71.279,2.232
2020-02,-0.732,5.15,55.657,71.5295,5.172
2020-03,-0.335,4.4,32.0114,74.5482,-18.668
2020-04,1.884,4.4,18.3785,76.1682,-57.312
2020-05,-0.33,4.0,29.3789,75.6575,-33.383
2020-06,0.596,4.0,40.2668,75.7077,-16.551
2020-07,1.383,4.0,43.2422,74.9286,-10.546
2020-08,0.52,4.0,44.736,74.5657,-7.132
2020-09,1.099,4.0,40.9095,73.5233,0.976
2020-10,1.279,4.0,40.1895,73.5648,4.516
2020-11,0.316,4.0,42.6924,74.2311,-1.63
2020-12,-1.007,4.0,49.9936,73.6195,2.156
2021-01,-0.636,4.0,54.774,73.1106,-0.582
2021-02,0.192,4.0,62.2765,72.8053,-3.204
2021-03,0.128,4.0,65.41,72.8196,24.232
2021-04,0.638,4.0,64.8065,74.5186,133.519
2021-05,1.648,4.0,68.5342,73.2065,27.605
2021-06,0.561,4.0,73.1641,73.5782,13.809
2021-07,0.744,4.0,75.1659,74.539,11.535
2021-08,0.246,4.0,70.7471,74.1155,12.969
2021-09,0.184,4.0,74.4886,73.6357,4.351
2021-10,1.409,4.0,83.5381,74.92,4.167
2021-11,0.725,4.0,81.05,74.477,1.026
2021-12,-0.3,4.0,74.1705,75.3948,1.019
2022-01,-0.301,4.0,86.5052,74.4075,1.977
2022-02,0.241,4.0,97.129,74.9695,1.155
2022-03,0.963,4.0,117.2452,76.1896,2.198
2022-04,1.431,4.0,104.5753,76.1719,6.661
2022-05,0.941,4.4,113.3376,77.2933,19.722
2022-06,0.524,4.9,122.711,78.09,12.622
2022-07,0.463,4.9,111.9257,79.5915,2.205
2022-08,0.519,5.4,100.4464,79.5065,-0.68
2022-09,0.574,5.9,89.7648,80.2538,3.32
2022-10,0.799,5.9,93.3319,82.2915,-4.074
2022-11,-0.113,5.9,91.4155,81.6805,7.578
2022-12,-0.453,6.25,80.924,82.4738,5.115
2023-01,0.455,6.25,82.5014,81.741,5.815
2023-02,0.17,6.5,82.585,82.5995,6.012
2023-03,0.226,6.5,78.4343,82.2665,1.949
2023-04,0.508,6.5,84.6383,81.9685,4.61
2023-05,0.561,6.5,75.466,82.2977,5.66
2023-06,1.061,6.5,74.8391,82.2252,4.049
2023-07,2.928,6.5,80.1081,82.1565,6.176
2023-08,-0.054,6.5,86.1477,82.8122,10.875
2023-09,-1.128,6.5,93.7224,83.07,6.353
2023-10,0.652,6.5,90.5959,83.2162,11.892
2023-11,0.54,6.5,82.94,83.266,2.469
2023-12,-0.322,6.5,77.6311,83.254,4.387
2024-01,-0.108,6.5,80.1241,83.1119,4.206
2024-02,0.162,6.5,83.4781,82.9485,5.599
2024-03,0.0,6.5,85.4085,83.0214,5.471
2024-04,0.484,6.5,89.9381,83.3968,5.188
2024-05,0.536,6.5,81.7462,83.3873,6.25
2024-06,1.332,6.5,82.246,83.46,4.934
2024-07,1.472,6.5,85.153,83.5895,4.975
2024-08,0.0,6.5,80.3552,83.8855,0.0
2024-09,0.622,6.5,74.0167,83.791,3.233
2024-10,1.339,6.5,75.6326,84.005,3.727
2024-11,-0.152,6.5,74.3452,84.3326,4.961
2024-12,-0.56,6.5,73.8595,84.9686,3.743
2025-01,-1.024,6.5,79.2705,86.2652,5.208
2025-02,-0.465,6.25,75.438,87.0637,2.719
2025-03,-0.26,6.25,72.7329,86.5214,3.938
2025-04,0.313,6.0,68.1345,85.5768,2.568
2025-05,0.208,6.0,64.453,85.2462,1.875
2025-06,0.622,5.5,71.4448,85.8765,1.523
2025-07,0.978,5.5,71.0413,86.1714,4.272
2025-08,0.459,5.5,67.87,87.5695,4.115
2025-09,0.0,5.5,67.9855,88.3214,4.629
2025-10,0.152,5.5,64.5435,88.3691,0.532
2025-11,0.304,5.5,63.797,88.8444,7.157
2025-12,0.051,5.25,62.5443,90.035,7.785
